^ESCTPH364969	Phobia of going out
^ESCTPH524913	Phobia of choking
^ESCTPH602515	Phobia counselling
^ESCTPH602516	Phobia counseling
^ESCTPH602948	Phonophobia
^ESCTPO326806	Posttraumatic stress disorder
^ESCTPO326809	Post-traumatic stress syndrome
^ESCTPS359269	Psychic shock
^ESCTPS371465	Psychiatric illness
^ESCTPS371466	Psychiatric disorder
^ESCTPS476496	Psychasthenia
^ESCTPS502419	Psychogenic autonomic dysfunction
^ESCTPS593485	Psychodynamic interventions relating to emotions
^ESCTPS593486	Psychodynamic interventions relating to feelings
^ESCTPS701873	Psychological pseudocyesis
^ESCTPT326808	PTSD - Post-traumatic stress disorder
^ESCTRE494899	Reducing anxiety
^ESCTRI359710	Ritual compulsion
^ESCTSA555868	SASZ - Zung's self-rating anxiety scal
^ESCTSC553180	School phobia
^ESCTSE439104	Separation anxiety
^ESCTSH316373	Shen-k'uei
^ESCTSH316374	Shenkui
^ESCTSI502402	Situational panic attack
^ESCTSO290799	Social anxiety disorder
^ESCTSP502404	Spontaneous panic attack
^ESCTST811300	Stranger anxiety
^ESCTSU316372	Sukra prameha
^ESCTSY512857	Syphilophobia
^ESCTTH250125	Therapeutic conditioning
^ESCTTO494435	Tonitrophobia
^ESCTTR326807	Traumatic neurosis
^ESCTTR512854	Trichophobia
^ESCTUN502405	Unexpected panic attack
^ESCTUN525002	Unable to resist obsessional thoughts
^ESCTVE512856	Venereophobia
^ESCTWI354358	Withdrawing reaction of childhood
^ESCTWO378509	Worry
^ESCTWO378510	Worrying
^ESCTWR476493	Writing block, psychogenic
^ESCTWR476494	Writers cramp, psychogenic
^ESCTZO338127	Zoophobia
^ESCTZU555867	Zung's self-rating anxiety scale
^ESCTZU555869	Zung self-rating anxiety scale
EMISICD10|F4530	Somatoform autonomic dysfunction, heart and cardiovascular system
EMISICD10|F4531	Somatoform autonomic dysfunction, upper gastrointestinal tract
EMISICD10|F4532	Somatoform autonomic dysfunction, lower gastrointestinal tract
EMISICD10|F4533	Somatoform autonomic dysfunction, respiratory system
EMISICD10|F4534	Somatoform autonomic dysfunction, genitourinary system
EMISICD10|F4538	Somatoform autonomic dysfunction, other organ or system
EMISICD10|F610	Mixed personality disorders
EMISICD10|F611	Troublesome personality changes
EMISNQNO78	Non epilepsy attack disorder
EMISNQPA155	Panic disorder without agoraphobia
ESCTFE1	Fear of water
ESCTSI18	Signposting to Anxiety UK
ESCTSI21	Signposting to OCD-UK (Obsessive-Compulsive Disorder-UK)
ESCTSI22	Signposting to OCD (Obsessive-Compulsive Disorder) Action
^ESCT1167675	Anxiety disorder caused by synthetic cannabinoid
^ESCT1167676	Synthetic cannabinoid-induced anxiety disorder
^ESCT1169017	Anxiety disorder caused by stimulant
^ESCT1169254	Anxiety disorder caused by synthetic cathinone
^ESCT1169255	Synthetic cathinone-induced anxiety disorder
^ESCT1170572	Anxiety in pregnancy
^ESCT1212756	Recurrent major depressive disorder co-occurrent with anxiety in full remission
^ESCT1361975	Adjustment disorder with mixed anxiety and depressed mood
^ESCT1390970	Anxiety due to dementia
^ESCT1390971	Anxiety in dementia
^ESCT1400822	Anxiety disorder caused by methamphetamine
^ESCT1416363	Acute vestibular syndrome due to anxiety and fear
^ESCTAL306279	Alcohol-induced anxiety disorder
^ESCTAL306280	Alcohol induced anxiety disorder
^ESCTAM383948	Amphetamine-induced anxiety disorder
^ESCTAM383949	Amphetamine induced anxiety disorder
^ESCTAN250013	Anxiety disorder of childhood OR adolescence
^ESCTAN259321	Anticipatory anxiety, severe
^ESCTAN268251	Anticipatory anxiety, mild
^ESCTAN309072	Anticipatory anxiety, moderate
^ESCTAN311002	Anxiety disorder of adolescence
^ESCTAN335796	Anxiety disorder due to a general medical condition
^ESCTAN335797	Anxiety disorder due to medical disorder
^ESCTAN335798	Anxiety disorder due to general medical condition
^ESCTAN336719	Anxiety disorder of childhood
^ESCTAN363000	Anxiety hyperventilation
^ESCTAN494443	Anxiety about resuming sexual relations
^ESCTAN494448	Anxiety about not coping with parenthood
^ESCTAN713775	Anxiety about loss of memory
^ESCTAN785908	Anxiety disorder caused by opioid
^ESCTAN786001	Anxiety disorder caused by methylenedioxymethamphetamine
^ESCTAN786002	Anxiety disorder caused by MDMA (methylenedioxymethamphetamine)
^ESCTAN786027	Anxiety disorder caused by dissociative drug
^ESCTAN786029	Anxiety disorder caused by ketamine
^ESCTAN801032	Anxiety disorder caused by drug
^ESCTAN810367	Anxiety about lethargy
^ESCTAN810368	Anxiety about mood
^ESCTAN932267	Anxiety disorder in mother complicating childbirth
^ESCTAN932268	Anxiety in childbirth
^ESCTCA314290	Cannabis-induced anxiety disorder
^ESCTCA314291	Cannabis induced anxiety disorder
^ESCTCA364913	Caffeine-induced anxiety disorder
^ESCTCA364914	Caffeine induced anxiety disorder
^ESCTCO333438	Cocaine-induced anxiety disorder
^ESCTCO333439	Cocaine induced anxiety disorder
^ESCTDI786028	Dissociative drug-induced anxiety disorder
^ESCTDR419623	Dream anxiety disorder
^ESCTEC786003	Ecstasy type drug-induced anxiety disorder
^ESCTHA274225	Hallucinogen-induced anxiety disorder
^ESCTHA274226	Hallucinogen induced anxiety disorder
^ESCTIL990112	Illness anxiety disorder
^ESCTIN283202	Inhalant-induced anxiety disorder
^ESCTIN283203	Inhalant induced anxiety disorder
^ESCTKE786030	Ketamine-induced anxiety disorder
^ESCTMI990116	Mild major depressive disorder co-occurrent with anxiety single episode
^ESCTMO990126	Moderate major depressive disorder co-occurrent with anxiety single episode
^ESCTOP785909	Opioid-induced anxiety disorder
^ESCTPC340927	PCP induced anxiety disorder
^ESCTPH340926	Phencyclidine-induced anxiety disorder
^ESCTPS331015	Psychoactive substance-induced organic anxiety disorder
^ESCTSE252539	Sedative, hypnotic AND/OR anxiolytic-induced anxiety disorder
^ESCTSE381066	Severe anxiety (panic)
^ESCTSE388358	Separation anxiety disorder of childhood, early onset
^ESCTSE990128	Severe major depressive disorder co-occurrent with anxiety single episode




